,bleus
0,0.26306106777383464
1,0.26451227684681095
2,0.2649444808624744
3,0.2646232173389652
4,0.2663336999137008
5,0.26553159194754516
6,0.26700488820413143
7,0.26715508354940526
8,0.26647459820330294
9,0.2669177416673576
10,0.2669620195338566
11,0.26761169289608766
12,0.2679723933415727
13,0.26754011948054307
14,0.267845327518095
15,0.2681114350571059
16,0.2676011325808126
17,0.267504574799421
18,0.2674891245790898
19,0.26790423539610897
